# معلومات عامة — 100 سؤال (25 لكل مستوى)
# الصيغة: مستوى|السؤال؟|خيار1|خيار2|خيار3|خيار4|رقم الإجابة
1|كم عدد أسنان الإنسان البالغ الطبيعية؟|ثمانية وعشرون|اثنان وثلاثون|ستة وثلاثون|أربعون|2
1|ما اسم أصغر كوكب في المجموعة الشمسية؟|الأرض|عطارد|زحل|نبتون|2
2|ما أطول نهر في العالم؟|الأمازون|النيل|المسيسيبي|اليانغتسي|2
2|كم عدد الكواكب في المجموعة الشمسية؟|سبعة|ثمانية|تسعة|عشرة|2
2|ما أكبر محيط في العالم؟|الأطلسي|الهندي|الهادئ|المتجمد الشمالي|3
2|ما الغاز الذي تحتاجه النباتات في عملية البناء الضوئي؟|النيتروجين الجوي|ثاني أكسيد الكربون|الهيدروجين الخفيف|الأكسجين النقي|2
2|كم عدد عظام جسم الإنسان البالغ؟|مئتان وستة|مئتان وثماني عشرة|ثلاثمئة|مئة وستة|1
2|ما أكبر صحراء حارة في العالم؟|كالاهاري|الصحراء الكبرى|صحراء غوبي|صحراء أتاكاما|2
2|ما العضو المسؤول عن ضخ الدم في الجسم؟|الكبد|القلب|الرئة|الكلية|2
2|كم عدد قارات العالم؟|خمس|ست|سبع|ثماني|3
2|ما أعلى قمة جبلية في العالم؟|كلمنجارو|إيفرست|مونت بلان|كي تو|2
2|ما الحيوان الذي يُعد أطول حيوان في العالم؟|الفيل|الزرافة|الجمل|الحصان|2
2|ما المعدن السائل في درجة حرارة الغرفة؟|الحديد|الزئبق|النحاس|الرصاص|2
2|كم عدد أسنان الإنسان البالغ؟|ثمانية وعشرون|اثنان وثلاثون|ثلاثون|ستة وثلاثون|2
2|ما الكوكب المعروف بالكوكب الأحمر؟|الزهرة|المريخ|زحل|أورانوس|2
2|ما أصغر وحدة بناء في جسم الكائن الحي؟|الذرة|الخلية|النسيج|العضو|2
2|ما العضو الذي يقوم بتنقية الدم من السموم؟|القلب|الكبد|المعدة|الطحال|2
2|كم عدد أضلاع الشكل السداسي؟|أربعة|خمسة|ستة|سبعة|3
2|ما اسم أكبر جزيرة في العالم؟|مدغشقر|جرينلاند|بورنيو|أستراليا|2
2|ما الحاسة التي تفقدها عند إصابة الأذن الداخلية؟|الذوق وتمييز الطعم|السمع والتوازن|البصر ورؤية الألوان|الشم وتمييز الروائح|2
2|ما الشيء الذي يقيس درجة الحرارة؟|البارومتر|الترمومتر|الأنيمومتر|الهيدرومتر|2
2|كم لتراً من الدم في جسم الإنسان البالغ تقريباً؟|لتران|خمسة لترات|عشرة لترات|خمسة عشر لتراً|2
2|ما أثقل عضو في جسم الإنسان؟|الكبد|الجلد|الدماغ|القلب|2
2|ما الحيوان الذي ينام واقفاً؟|القط|الحصان|الأرنب|الفأر|2
2|كم عدد الفقرات في العمود الفقري للإنسان البالغ؟|ثلاث وعشرون|ست وعشرون|ثلاثون|ثلاث وثلاثون|2
2|ما أسرع حيوان في الماء؟|الدلفين|سمك أبو سيف|القرش|الحوت|2
2|ما الحيوان الذي يُغيّر لونه ليتخفّى؟|الضفدع|الحرباء|السلحفاة|الأفعى|2
3|ما العنصر الأكثر وفرة في الغلاف الجوي للأرض؟|الأكسجين|النيتروجين|الأرغون|ثاني أكسيد الكربون|2
3|ما أعمق نقطة في المحيطات؟|خندق ماريانا|خندق بورتوريكو|خندق جاوة|خندق التونغا|1
3|كم عدد الكروموسومات في الخلية البشرية الطبيعية؟|ثلاثة وعشرون|ستة وأربعون|اثنان وعشرون|ثمانية وأربعون|2
3|ما أكبر بحيرة عذبة في العالم من حيث المساحة؟|بحيرة فيكتوريا|بحيرة سوبيريور|بحيرة بايكال|بحيرة تنجانيقا|2
3|ما أصلب مادة طبيعية معروفة؟|الكوارتز|الماس|الياقوت|الجرافيت|2
3|ما العضو الذي يُنتج الأنسولين في الجسم؟|الكبد|البنكرياس|الكلية|الغدة الدرقية|2
3|ما أكبر عضو داخلي في جسم الإنسان؟|القلب|الكبد|الرئة|المعدة|2
3|ما البحر الذي لا تعيش فيه الأسماك بسبب شدة ملوحته؟|البحر الأحمر|البحر الميت|البحر الأسود|بحر قزوين|2
3|ما وحدة قياس القوة في النظام الدولي؟|الجول|النيوتن|الواط|البسكال|2
3|ما الكوكب الذي يمتلك أكبر عدد من الأقمار المعروفة؟|المشتري|زحل|أورانوس|نبتون|2
3|ما أطول سلسلة جبال في العالم على سطح الأرض؟|الهيمالايا|الأنديز|جبال روكي|جبال الألب|2
3|ما الغاز المسؤول عن حماية الأرض من الأشعة فوق البنفسجية؟|النيتروجين|الأوزون|الميثان|الهيليوم|2
3|كم تبلغ سرعة الضوء في الفراغ تقريباً؟|ثلاثمئة ألف كم في الثانية|ثلاثة آلاف كم في الثانية|ثلاثون ألف كم في الثانية|ثلاثة ملايين كم في الثانية|1
3|ما أصغر عظم في جسم الإنسان؟|الرِّكاب|المطرقة|السِّندان|الترقوة|1
3|ما البلد الذي يمتلك أطول ساحل في العالم؟|روسيا|كندا|إندونيسيا|أستراليا|2
3|ما العملية التي تُنتج بها النباتات غذاءها؟|التنفس الخلوي|البناء الضوئي|النتح الورقي|التخمّر اللاهوائي|2
3|ما أكثر لغة يتحدث بها الناس كلغة أم في العالم؟|الهندية الأوردية|الصينية الماندرين|الإنجليزية|الإسبانية|2
3|ما اسم الطبقة التي نعيش فيها من الغلاف الجوي؟|الستراتوسفير|التروبوسفير|الميزوسفير|الثيرموسفير|2
3|ما البلد الذي يقع فيه سد النهضة؟|السودان|إثيوبيا|مصر|إريتريا|2
3|ما أقدم عملة ورقية استُخدمت في التاريخ؟|الدرهم الإسلامي|العملة الصينية|الدينار الذهبي|الجنيه البريطاني|2
3|ما وحدة قياس شدة الزلازل؟|درجة سلزيوس|مقياس ريختر|البسكال|الديسيبل|2
3|ما البلد المعروف ببلاد الشمس المشرقة؟|الصين|اليابان|كوريا الجنوبية|تايلاند|2
3|ما أكبر حيوان بري يعيش حالياً؟|وحيد القرن|الفيل الأفريقي|فرس النهر|الجمل|2
3|ما اسم القوة التي تجذب الأجسام نحو مركز الأرض؟|الطرد المركزي|الجاذبية|الاحتكاك|المغناطيسية|2
3|ما المادة التي تُصنع منها العظام أساساً؟|الحديد|الكالسيوم|الصوديوم|البوتاسيوم|2
4|ما اسم أصغر دولة في العالم من حيث المساحة؟|موناكو|الفاتيكان|سان مارينو|ناورو|2
4|ما العنصر الكيميائي الذي رمزه W؟|النحاس|التنجستن|الفاناديوم|الزنك|2
4|ما اسم البحيرة الأعمق في العالم؟|بحيرة سوبيريور|بحيرة بايكال|بحيرة تنجانيقا|بحيرة قزوين|2
4|ما اسم الغدة التي تُلقب بسيدة الغدد في جسم الإنسان؟|الدرقية|النخامية|الكظرية|الصنوبرية|2
4|ما اسم الوحدة التي تقيس كمية المادة في الكيمياء؟|الجرام|المول|اللتر|النيوتن|2
4|ما البلد الذي يحتوي على أكبر عدد من البراكين النشطة؟|اليابان|إندونيسيا|الفلبين|إيطاليا|2
4|ما العملية التي يفقد بها النبات الماء عبر الأوراق؟|البناء الضوئي|النتح|الانتشار|الأسموزية|2
4|ما اسم الظاهرة التي تجعل الأجسام تبدو مكسورة داخل الماء؟|الانعكاس|الانكسار|التشتت|الحيود|2
4|ما اسم أكبر شبه جزيرة في العالم؟|شبه الجزيرة الإسكندنافية|شبه الجزيرة العربية|شبه جزيرة الأناضول|شبه جزيرة إيبيريا|2
4|ما الغاز النبيل الذي يعطي ضوءاً أحمر برتقالياً في مصابيح الإعلانات؟|الأرغون|النيون|الكريبتون|الزينون|2
4|ما اسم الوعاء الدموي الذي ينقل الدم من القلب إلى الجسم؟|الوريد|الشريان|الشعيرة|الأذين|2
4|ما المكان الذي بلغه الإنسان في أعمق غوص مأهول في المحيط؟|خندق ماريانا|البحر الأحمر|بحر الشمال|خندق سوندا|1
4|ما الاسم العلمي للطبقة الوسطى من جلد الإنسان؟|البشرة|الأدمة|النسيج الدهني|الطبقة القرنية|2
4|ما البلد الذي كان يُعرف تاريخياً باسم بلاد فارس؟|العراق|إيران|أفغانستان|تركيا|2
4|ما وحدة قياس المقاومة الكهربائية؟|الأمبير|الأوم|الفولت|الواط|2
4|ما اسم أكبر خليج في العالم؟|خليج المكسيك|خليج البنغال|الخليج العربي|خليج غينيا|2
4|ما اسم النظرية التي تفسّر تكوّن الكون من انفجار عظيم؟|نظرية الكم|الانفجار الكبير|نظرية التطور|النسبية العامة|2
4|ما العنصر الذي يمثّل حوالي 65 بالمئة من كتلة جسم الإنسان؟|الكربون|الأكسجين|الهيدروجين|النيتروجين|2
4|ما اسم الخط الوهمي الذي يقسم الأرض إلى نصفين شمالي وجنوبي؟|خط جرينتش|خط الاستواء|مدار السرطان|مدار الجدي|2
4|ما اسم أكبر حوض نهري في العالم؟|حوض النيل|حوض الأمازون|حوض الكونغو|حوض المسيسيبي|2
4|ما اسم العضية المسؤولة عن إنتاج الطاقة في الخلية؟|النواة|الميتوكوندريا|الريبوسوم|جهاز جولجي|2
4|ما اسم أطول نفق سكة حديد في العالم؟|نفق سيكان الياباني|نفق غوتهارد القاعدي|نفق لاردال النرويجي|نفق المانش الفرنسي|2
4|ما اسم الظاهرة التي يبدو فيها القمر أحمر خلال الخسوف الكلي؟|القمر الأزرق|القمر الدموي|القمر العملاق|المحاق|2
4|بأي مقياس تُقاس المسافات داخل المجموعة الشمسية عادةً؟|السنة الضوئية|الوحدة الفلكية|الفرسخ الفلكي|الميل البحري|2
4|ما اسم أكبر صحراء في العالم إذا احتُسبت الصحاري الجليدية؟|الصحراء الكبرى الأفريقية|القارة القطبية الجنوبية|صحراء غوبي الآسيوية|الصحراء الأسترالية الكبرى|2
